Date,Fed_purchase,2s10s_curve,2s10s_curve,2s30s_curve,10y_ust,30y_ust,UST_index,MBS_index,G2_2.5_OAS,FNCL_2.5_OAS,G2_2.5_tba_price,
01/03/2020,791.00,26.35,71.98,1.79,2.24,2386.77,2240.20,12.40,33.70,100.70,99.42,
01/07/2020,198.00,27.73,76.48,1.82,2.31,2380.72,2240.57,12.30,30.80,100.73,99.39,
01/08/2020,887.00,29.32,78.19,1.87,2.36,2373.52,2238.79,13.80,29.70,100.42,99.14,
01/10/2020,800.00,24.94,70.84,1.82,2.28,2381.76,2242.57,11.90,31.40,100.89,99.42,
01/16/2020,912.00,24.17,69.21,1.81,2.26,2385.54,2244.23,14.30,30.80,100.77,99.39,
01/17/2020,202.00,26.22,72.14,1.82,2.28,2380.96,2243.88,15.70,30.10,100.52,99.39,
01/23/2020,681.00,21.88,66.45,1.73,2.18,2397.33,2246.70,11.20,27.90,100.95,99.89,
01/24/2020,379.00,18.92,63.77,1.68,2.13,2405.37,2248.29,8.80,26.60,101.23,100.05,
01/27/2020,375.00,16.72,61.59,1.61,2.06,2416.46,2249.59,12.80,29.90,101.42,100.23,
01/30/2020,972.00,17.28,63.78,1.59,2.05,2422.98,2250.60,12.80,28.00,101.33,100.39,
01/31/2020,223.00,19.36,68.65,1.51,2.00,2427.69,2252.45,13.30,28.50,101.52,100.77,
02/04/2020,405.00,19.01,66.79,1.60,2.08,2415.67,2250.27,16.40,31.50,101.30,100.30,
02/05/2020,785.00,20.77,69.54,1.65,2.14,2409.02,2250.90,14.40,29.70,101.39,100.20,
02/11/2020,427.00,17.72,64.25,1.60,2.07,2419.88,2255.99,14.80,30.40,101.48,100.33,
02/19/2020,88.00,14.43,59.21,1.57,2.01,2424.03,2256.25,21.50,34.00,101.36,100.36,
02/20/2020,660.00,12.60,57.14,1.52,1.96,2430.82,2257.81,20.30,34.10,100.95,100.52,
02/26/2020,317.00,17.23,65.94,1.34,1.82,2464.08,2265.19,24.40,38.30,102.11,101.08,
03/03/2020,80.00,29.99,91.54,1.00,1.61,2506.19,2279.23,11.20,38.00,103.39,102.48,
03/06/2020,592.00,25.61,78.12,0.76,1.29,2562.15,2286.79,28.10,53.70,103.05,102.70,
03/10/2020,286.00,26.88,74.57,0.80,1.28,2547.72,2281.78,58.30,71.20,102.52,101.73,
03/16/2020,7602.00,35.83,92.43,0.72,1.28,2554.81,2274.15,50.10,70.00,103.02,102.23,
03/17/2020,3609.00,58.59,119.19,1.08,1.68,2511.84,2272.57,36.50,52.60,102.70,101.98,
03/18/2020,6187.00,65.78,125.38,1.19,1.79,2465.95,2251.54,75.00,79.40,100.70,100.17,
03/19/2020,14420.00,68.97,133.41,1.14,1.78,2491.25,2235.63,113.70,109.60,98.98,99.92,
03/20/2020,35815.00,53.20,110.34,0.85,1.42,2519.92,2256.61,87.40,90.60,100.98,101.73,
03/23/2020,30169.00,47.41,103.86,0.79,1.35,2554.85,2282.42,51.40,64.80,102.52,102.27,
03/24/2020,36416.00,47.52,102.40,0.85,1.40,2549.87,2299.46,20.30,37.20,104.02,103.39,
03/25/2020,39876.00,53.74,111.49,0.87,1.44,2544.26,2299.88,11.50,30.90,104.02,103.30,
03/26/2020,35804.00,55.20,113.83,0.84,1.43,2551.96,2296.00,-4.00,24.90,104.61,103.70,
03/27/2020,41042.00,43.29,102.17,0.67,1.26,2562.64,2299.87,-35.00,4.70,105.45,104.48,
03/30/2020,20728.00,49.83,110.85,0.73,1.34,2571.72,2309.75,-53.00,6.90,104.98,103.89,
03/31/2020,19556.00,42.40,107.59,0.67,1.32,2564.12,2299.88,0.10,42.70,104.73,103.55,
